ID,Industry,Department,AI_Impact_Score,Impact_Type,Comment
1,Finance,Sales,2.26,Neutral,Improved data-driven decisions
2,Healthcare,R&D,3.8,Positive,Improved efficiency
3,Education,Sales,6.66,Negative,Automated tasks
4,Finance,Operations,3.78,Positive,Resistance from staff
5,Manufacturing,IT,8.0,Neutral,Improved efficiency
6,Finance,Marketing,6.43,Negative,Improved data-driven decisions
7,Finance,Sales,6.98,Positive,Improved efficiency
8,Retail,IT,7.48,Negative,Training required
9,Manufacturing,Operations,7.74,Neutral,Resistance from staff
10,Manufacturing,Sales,4.06,Positive,Cost savings
11,Manufacturing,IT,3.51,Neutral,Improved data-driven decisions
12,Manufacturing,R&D,9.35,Negative,Automated tasks
13,Education,R&D,9.55,Neutral,Automated tasks
14,Education,R&D,7.38,Negative,Improved efficiency
15,Healthcare,IT,6.08,Neutral,Training required
16,Education,Sales,2.09,Negative,Resistance from staff
17,Manufacturing,IT,7.01,Negative,Automated tasks
18,Retail,IT,4.11,Positive,Cost savings
19,Finance,HR,8.73,Neutral,Training required
20,Manufacturing,HR,6.06,Negative,Improved data-driven decisions
21,Healthcare,Operations,9.7,Positive,Training required
22,Retail,Operations,1.12,Positive,Cost savings
23,Manufacturing,Marketing,4.49,Negative,Resistance from staff
24,Manufacturing,Marketing,3.88,Negative,Improved efficiency
25,Retail,HR,8.2,Positive,Training required
26,Finance,Operations,1.23,Negative,Improved data-driven decisions
27,Finance,Sales,1.55,Negative,Improved efficiency
28,Education,IT,8.53,Negative,Cost savings
29,Education,HR,1.71,Positive,Improved data-driven decisions
30,Manufacturing,HR,2.54,Neutral,Cost savings
31,Retail,Marketing,6.76,Negative,Improved efficiency
32,Healthcare,HR,6.44,Neutral,Improved efficiency
33,Manufacturing,Operations,8.47,Positive,Training required
34,Retail,Operations,2.96,Positive,Improved efficiency
35,Healthcare,R&D,7.67,Positive,Cost savings
36,Finance,Sales,2.94,Neutral,Training required
37,Education,IT,1.97,Positive,Automated tasks
38,Retail,R&D,1.92,Negative,Improved data-driven decisions
39,Healthcare,HR,9.55,Negative,Improved data-driven decisions
40,Manufacturing,R&D,4.71,Negative,Automated tasks
41,Education,Operations,8.89,Negative,Training required
42,Retail,HR,1.63,Neutral,Automated tasks
43,Retail,Sales,3.81,Negative,Automated tasks
44,Retail,Marketing,3.08,Positive,Improved efficiency
45,Healthcare,IT,2.44,Neutral,Training required
46,Education,R&D,2.27,Negative,Training required
47,Finance,HR,6.72,Neutral,Resistance from staff
48,Retail,Sales,2.32,Positive,Automated tasks
49,Manufacturing,Marketing,6.88,Positive,Improved data-driven decisions
50,Retail,R&D,8.14,Neutral,Automated tasks
51,Finance,Operations,2.26,Negative,Automated tasks
52,Retail,Marketing,1.25,Neutral,Training required
53,Healthcare,R&D,5.56,Negative,Cost savings
54,Manufacturing,Marketing,9.86,Positive,Automated tasks
55,Healthcare,Marketing,8.5,Neutral,Automated tasks
56,Healthcare,R&D,6.53,Neutral,Training required
57,Retail,IT,6.93,Negative,Cost savings
58,Retail,R&D,9.3,Neutral,Automated tasks
59,Healthcare,IT,2.24,Neutral,Training required
60,Finance,HR,9.89,Neutral,Improved data-driven decisions
61,Retail,R&D,6.73,Neutral,Improved efficiency
62,Manufacturing,R&D,8.24,Negative,Automated tasks
63,Education,Operations,7.9,Positive,Resistance from staff
64,Manufacturing,Operations,7.13,Negative,Automated tasks
65,Education,IT,3.75,Neutral,Training required
66,Finance,HR,2.87,Neutral,Improved efficiency
67,Manufacturing,Operations,2.61,Neutral,Cost savings
68,Manufacturing,Operations,3.5,Negative,Improved efficiency
69,Manufacturing,R&D,6.73,Negative,Improved efficiency
70,Education,Marketing,5.63,Positive,Improved efficiency
71,Finance,Operations,2.97,Negative,Improved efficiency
72,Education,HR,2.38,Positive,Improved efficiency
73,Healthcare,IT,2.16,Positive,Automated tasks
74,Education,Sales,8.87,Negative,Automated tasks
75,Retail,Operations,7.17,Positive,Resistance from staff
76,Education,IT,6.09,Neutral,Automated tasks
77,Healthcare,R&D,7.01,Positive,Training required
78,Finance,Sales,3.88,Negative,Training required
79,Education,Marketing,7.93,Neutral,Training required
80,Education,IT,1.91,Negative,Resistance from staff
81,Manufacturing,Operations,8.74,Positive,Cost savings
82,Finance,Sales,8.38,Negative,Automated tasks
83,Manufacturing,Marketing,8.95,Positive,Resistance from staff
84,Manufacturing,Sales,3.27,Neutral,Automated tasks
85,Finance,HR,8.72,Neutral,Resistance from staff
86,Healthcare,Sales,1.23,Positive,Training required
87,Finance,HR,9.39,Negative,Resistance from staff
88,Finance,Sales,9.14,Negative,Cost savings
89,Finance,HR,9.91,Negative,Improved efficiency
90,Retail,IT,8.29,Neutral,Cost savings
91,Retail,HR,4.91,Neutral,Automated tasks
92,Manufacturing,Sales,8.91,Neutral,Improved efficiency
93,Healthcare,HR,2.9,Positive,Automated tasks
